company,year,capex_usd_b,fcf_ttm_usd_b,capex_fcf_ratio,notes
MSFT,2024,55,75,0.73,FCF 全覆盖时代
GOOG,2024,52,69,0.75,
META,2024,40,55,0.73,
AMZN,2024,75,38,1.97,AWS 加速
ORCL,2024,7,12,0.58,
MSFT,2025,80,72,1.11,
GOOG,2025,75,65,1.15,
META,2025,72,50,1.44,
AMZN,2025,120,26,4.62,FCF 开始崩
ORCL,2025,21,12,1.75,
MSFT,2026,190,72.9,2.61,FY26 指引 ($190B 含元器件涨价)
GOOG,2026,185,64.4,2.87,2026 指引中位
META,2026,135,48.3,2.79,4 月再上修 $125-145B / TTM FCF 实际
AMZN,2026,200,1.2,166.67,TTM FCF 暴跌 (TTM capex $147.3B)
ORCL,2026,50,-24.7,N/A,FY26 指引 +43% / TTM FCF 已转负
